
央视频道,#genre#
黑龙江卫视,http://125.123.140.111:8888/udp/233.50.201.115:5140
安徽卫视,http://125.123.140.111:8888/udp/233.50.201.113:5140
安徽卫视,http://183.145.74.110:7777/udp/233.50.201.113:5140
安徽卫视,http://125.113.165.33:8888/udp/233.50.201.113:5140
山西卫视,http://125.113.165.33:8888/udp/233.50.201.51:5140
山西卫视,http://125.123.140.111:8888/udp/233.50.201.51:5140
山西卫视,http://183.145.74.110:7777/udp/233.50.201.51:5140
江西卫视,http://183.145.74.110:7777/udp/233.50.201.145:5140
江西卫视,http://125.123.140.111:8888/udp/233.50.201.145:5140
江西卫视,http://125.113.165.33:8888/udp/233.50.201.145:5140
湖北卫视,http://183.145.74.110:7777/udp/233.50.201.114:5140
湖北卫视,http://125.123.140.111:8888/udp/233.50.201.114:5140
湖北卫视,http://125.113.165.33:8888/udp/233.50.201.114:5140
陕西卫视,http://125.113.165.33:8888/udp/233.50.201.59:5140
陕西卫视,http://125.123.140.111:8888/udp/233.50.201.59:5140
陕西卫视,http://183.145.74.110:7777/udp/233.50.201.59:5140
东南卫视,http://125.113.165.33:8888/udp/233.50.201.146:5140
东南卫视,http://125.123.140.111:8888/udp/233.50.201.146:5140
东南卫视,http://183.145.74.110:7777/udp/233.50.201.146:5140
吉林卫视,http://125.123.140.111:8888/udp/233.50.201.48:5140
吉林卫视,http://125.113.165.33:8888/udp/233.50.201.48:5140
吉林卫视,http://183.145.74.110:7777/udp/233.50.201.48:5140
辽宁卫视,http://125.113.165.33:8888/udp/233.50.201.141:5140
辽宁卫视,http://183.145.74.110:7777/udp/233.50.201.141:5140
辽宁卫视,http://125.123.140.111:8888/udp/233.50.201.141:5140
内蒙古卫视,http://125.123.140.111:8888/udp/233.50.201.148:5140
内蒙古卫视,http://125.113.165.33:8888/udp/233.50.201.148:5140
内蒙古卫视,http://183.145.74.110:7777/udp/233.50.201.148:5140
广东卫视,http://183.145.74.110:7777/udp/233.50.201.102:5140
广东卫视,http://125.123.140.111:8888/udp/233.50.201.102:5140
广东卫视,http://125.113.165.33:8888/udp/233.50.201.102:5140
河南卫视,http://183.145.74.110:7777/udp/233.50.201.144:5140
河南卫视,http://125.113.165.33:8888/udp/233.50.201.144:5140
河南卫视,http://125.123.140.111:8888/udp/233.50.201.144:5140
河北卫视,http://183.145.74.110:7777/udp/233.50.201.140:5140
河北卫视,http://125.113.165.33:8888/udp/233.50.201.140:5140
河北卫视,http://125.123.140.111:8888/udp/233.50.201.140:5140
宁夏卫视,http://125.123.140.111:8888/udp/233.50.201.57:5140
宁夏卫视,http://183.145.74.110:7777/udp/233.50.201.57:5140
宁夏卫视,http://125.113.165.33:8888/udp/233.50.201.57:5140
甘肃卫视,http://183.145.74.110:7777/udp/233.50.201.149:5140
甘肃卫视,http://125.123.140.111:8888/udp/233.50.201.149:5140
甘肃卫视,http://125.113.165.33:8888/udp/233.50.201.149:5140
青海卫视,http://125.113.165.33:8888/udp/233.50.201.65:5140
青海卫视,http://125.123.140.111:8888/udp/233.50.201.65:5140
青海卫视,http://183.145.74.110:7777/udp/233.50.201.65:5140
西藏卫视,http://183.145.74.110:7777/udp/233.50.201.70:5140
西藏卫视,http://125.113.165.33:8888/udp/233.50.201.70:5140
西藏卫视,http://125.123.140.111:8888/udp/233.50.201.70:5140

浙江频道,#genre#
浙江民生,http://125.113.165.33:8888/udp/233.50.201.136:5140
浙江民生,http://125.123.140.111:8888/udp/233.50.201.136:5140
浙江民生,http://183.145.74.110:7777/udp/233.50.201.136:5140
浙江经济生活,http://125.113.165.33:8888/udp/233.50.201.133:5140
浙江经济生活,http://125.123.140.111:8888/udp/233.50.201.133:5140
浙江经济生活,http://183.145.74.110:7777/udp/233.50.201.133:5140
钱江频道,http://125.113.165.33:8888/udp/233.50.201.132:5140
钱江频道,http://125.123.140.111:8888/udp/233.50.201.132:5140
钱江频道,http://183.145.74.110:7777/udp/233.50.201.132:5140
浙江news,http://125.113.165.33:8888/udp/233.50.201.137:5140
浙江news,http://125.123.140.111:8888/udp/233.50.201.137:5140
浙江news,http://183.145.74.110:7777/udp/233.50.201.137:5140
杭州1综合,http://125.113.165.33:8888/udp/233.50.201.173:5140
杭州1综合,http://125.123.140.111:8888/udp/233.50.201.173:5140
杭州1综合,http://183.145.74.110:7777/udp/233.50.201.173:5140
杭州2明珠,http://125.113.165.33:8888/udp/233.50.201.174:5140
杭州2明珠,http://125.123.140.111:8888/udp/233.50.201.174:5140
杭州2明珠,http://183.145.74.110:7777/udp/233.50.201.174:5140
杭州3生活,http://125.113.165.33:8888/udp/233.50.201.175:5140
杭州3生活,http://125.123.140.111:8888/udp/233.50.201.175:5140
杭州3生活,http://183.145.74.110:7777/udp/233.50.201.175:5140
杭州4影视,http://125.113.165.33:8888/udp/233.50.201.176:5140
杭州4影视,http://125.123.140.111:8888/udp/233.50.201.176:5140
杭州4影视,http://183.145.74.110:7777/udp/233.50.201.176:5140
杭州5青少,http://125.113.165.33:8888/udp/233.50.201.177:5140
杭州5青少,http://125.123.140.111:8888/udp/233.50.201.177:5140
杭州5青少,http://183.145.74.110:7777/udp/233.50.201.177:5140
欢笑剧场,http://125.113.165.33:8888/udp/233.50.201.189:5140
欢笑剧场,http://125.123.140.111:8888/udp/233.50.201.189:5140
欢笑剧场,http://183.145.74.110:7777/udp/233.50.201.189:5140
法制天地,http://125.113.165.33:8888/udp/233.50.201.191:5140
法制天地,http://125.123.140.111:8888/udp/233.50.201.191:5140
法制天地,http://183.145.74.110:7777/udp/233.50.201.191:5140
温州新闻,http://125.113.165.33:8888/udp/233.50.201.87:5140
温州新闻,http://125.123.140.111:8888/udp/233.50.201.87:5140
温州新闻,http://183.145.74.110:7777/udp/233.50.201.87:5140
宁波TV1,http://125.113.165.33:8888/udp/233.50.201.168:5140
宁波TV1,http://125.123.140.111:8888/udp/233.50.201.168:5140
宁波TV1,http://183.145.74.110:7777/udp/233.50.201.168:5140
宁波TV2,http://125.113.165.33:8888/udp/233.50.201.178:5140
宁波TV2,http://125.123.140.111:8888/udp/233.50.201.178:5140
宁波TV2,http://183.145.74.110:7777/udp/233.50.201.178:5140
宁波TV3,http://125.113.165.33:8888/udp/233.50.201.179:5140
宁波TV3,http://125.123.140.111:8888/udp/233.50.201.179:5140
宁波TV3,http://183.145.74.110:7777/udp/233.50.201.179:5140
宁波TV4,http://125.113.165.33:8888/udp/233.50.201.180:5140
宁波TV4,http://125.123.140.111:8888/udp/233.50.201.180:5140
宁波TV4,http://183.145.74.110:7777/udp/233.50.201.180:5140
宁波TV5,http://125.113.165.33:8888/udp/233.50.201.181:5140
宁波TV5,http://125.123.140.111:8888/udp/233.50.201.181:5140
宁波TV5,http://183.145.74.110:7777/udp/233.50.201.181:5140
台州-1,http://125.113.165.33:8888/udp/233.50.201.157:5140
台州-1,http://125.123.140.111:8888/udp/233.50.201.157:5140
台州-1,http://183.145.74.110:7777/udp/233.50.201.157:5140
衢州新闻,http://125.113.165.33:8888/udp/233.50.201.155:5140
衢州新闻,http://125.123.140.111:8888/udp/233.50.201.155:5140
衢州新闻,http://183.145.74.110:7777/udp/233.50.201.155:5140
都市剧场,http://125.113.165.33:8888/udp/233.50.201.190:5140
都市剧场,http://125.123.140.111:8888/udp/233.50.201.190:5140
都市剧场,http://183.145.74.110:7777/udp/233.50.201.190:5140
金华新闻,http://125.113.165.33:8888/udp/233.50.201.161:5140
金华新闻,http://125.123.140.111:8888/udp/233.50.201.161:5140
金华新闻,http://183.145.74.110:7777/udp/233.50.201.161:5140
嘉兴新闻,http://125.113.165.33:8888/udp/233.50.201.163:5140
嘉兴新闻,http://125.123.140.111:8888/udp/233.50.201.163:5140
嘉兴新闻,http://183.145.74.110:7777/udp/233.50.201.163:5140
未分类节目,#genre#
BesTV,http://125.113.165.33:8888/udp/233.50.201.201:5140
BesTV,http://125.123.140.111:8888/udp/233.50.201.201:5140
BesTV,http://183.145.74.110:7777/udp/233.50.201.201:5140
YMG新闻,http://125.113.165.33:8888/udp/233.50.201.159:5140
YMG新闻,http://125.123.140.111:8888/udp/233.50.201.159:5140
YMG新闻,http://183.145.74.110:7777/udp/233.50.201.159:5140
中国蓝直播,http://125.113.165.33:8888/udp/233.50.201.108:5140
中国蓝直播,http://125.113.165.33:8888/udp/233.50.201.193:5140
中国蓝直播,http://125.123.140.111:8888/udp/233.50.201.108:5140
