💞央视,#genre#
CCTV17,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV17,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV17,http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010210/
CCTV17,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000005000056836/
CCTV17,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000006000268004/
CCTV1,http://175.16.151.135:9901/tsfile/live/0001_1.m3u8
CCTV2,http://175.16.151.135:9901/tsfile/live/0002_1.m3u8
CCTV5,http://175.16.151.135:9901/tsfile/live/0005_1.m3u8
CCTV8,http://175.16.151.135:9901/tsfile/live/0008_1.m3u8
CCTV12,http://175.16.151.135:9901/tsfile/live/0012_1.m3u8
CCTV15,http://175.16.151.135:9901/tsfile/live/0015_1.m3u8
CCTV17,http://175.16.151.135:9901/tsfile/live/0019_1.m3u8
CCTV2,http://111.225.112.50:808/tsfile/live/0002_1.m3u8
CCTV12,http://111.225.112.50:808/tsfile/live/0012_1.m3u8
CCTV15,http://111.225.112.50:808/tsfile/live/0015_1.m3u8
CCTV17,http://111.225.112.50:808/tsfile/live/0016_1.m3u8
CCTV2,http://111.225.113.111:9901/tsfile/live/0002_1.m3u8
CCTV3,http://111.225.113.111:9901/tsfile/live/0003_1.m3u8
CCTV6,http://111.225.113.111:9901/tsfile/live/0006_1.m3u8
CCTV2,http://111.225.113.114:9901/tsfile/live/0002_1.m3u8
CCTV3,http://111.225.113.114:9901/tsfile/live/0003_1.m3u8
CCTV8,http://111.225.113.114:9901/tsfile/live/0008_1.m3u8
CCTV12,http://111.225.113.114:9901/tsfile/live/0012_1.m3u8
CCTV1,http://111.225.113.67:9901/tsfile/live/0001_1.m3u8
CCTV3,http://111.225.113.67:9901/tsfile/live/0003_1.m3u8
CCTV5,http://111.225.113.67:9901/tsfile/live/0005_1.m3u8
CCTV6,http://111.225.113.67:9901/tsfile/live/0006_1.m3u8
CCTV8,http://111.225.113.67:9901/tsfile/live/0008_1.m3u8
CCTV10,http://111.225.113.67:9901/tsfile/live/0010_1.m3u8
CCTV12,http://111.225.113.67:9901/tsfile/live/0012_1.m3u8
CCTV5+,http://111.225.113.67:9901/tsfile/live/0016_1.m3u8
CCTV2,http://111.225.115.233:9901/tsfile/live/0002_1.m3u8
CCTV3,http://111.225.115.233:9901/tsfile/live/0003_1.m3u8
CCTV5,http://111.225.115.233:9901/tsfile/live/0005_1.m3u8
CCTV6,http://111.225.115.233:9901/tsfile/live/0006_1.m3u8
CCTV10,http://111.225.115.233:9901/tsfile/live/0010_1.m3u8
CCTV12,http://111.225.115.233:9901/tsfile/live/0012_1.m3u8
CCTV14,http://111.225.115.233:9901/tsfile/live/0014_1.m3u8
CCTV5+,http://111.225.115.233:9901/tsfile/live/0016_1.m3u8
CCTV1,http://111.225.112.218:9901/tsfile/live/0001_1.m3u8
CCTV2,http://111.225.112.218:9901/tsfile/live/0002_1.m3u8
CCTV5,http://111.225.112.218:9901/tsfile/live/0005_1.m3u8
CCTV13,http://111.225.112.218:9901/tsfile/live/0013_1.m3u8
CCTV5,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226365/index.m3u8
CCTV7,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226432/index.m3u8
CCTV9,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226434/index.m3u8
CCTV13,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226438/index.m3u8
CCTV4,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226539/index.m3u8
CCTV15,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226616/index.m3u8
CCTV4,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226652/index.m3u8
CCTV2,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226676/index.m3u8
